review_score,review_text,sentimento,x,y
1,"No site consta entregue mas não recebi o cartucho colorido, somente os dois pretos conforme pedido.",Muito Negativo,7.9261355,9.062135
1,"minha película de vidro chegou toda trincada! preciso de uma inteira, ",Muito Negativo,10.1901245,9.451295
4,Não há,Positivo,8.79506,8.327349
5,Gostei recebi tudo certinho no prazo estipulado.Parabéns para Loja.,Muito Positivo,14.8455925,8.777834
1,"Comprei dois jogos de susplat, mas veio apenas um. Qualidade do tecido horrível. Quero exercer direito de arrependimento. ",Muito Negativo,7.252744,10.04031
5,"o processo de compra e entrega foi efetuado de maneira satisfatória, obedecendo todos os requisitos de uma boa compra.",Muito Positivo,14.184721,11.51677
4,Foi bem legal obrigado,Positivo,14.39631,7.357811
5,Entrega antes do prazo - Otimo,Muito Positivo,16.06717,8.584097
4,Veio dentro do prazo e em ótimo estado,Positivo,15.425532,8.607168
2,Minha bolsa de caçamba veio da Ford ranger ao invés da frontier ,Negativo,8.069162,9.81634
5,"Recebi o produto como anunciado, o mesmo funciona como prometidos.",Muito Positivo,14.4269705,11.485532
5,"Mto bom .. 
Atendido bem antes do prazo super recomendo",Muito Positivo,15.313773,9.298678
5,Top,Muito Positivo,14.585776,2.2612035
5,Bom,Muito Positivo,15.867679,0.7687416
3,"Achei que era inox, mas é cromado e não é dos melhores, mas pelo preço serve🤔",Neutro,10.996342,10.443514
3,A maleta veio com arranhões ,Neutro,11.253802,10.577131
1,Eu não recebi o produto ainda,Muito Negativo,9.121782,13.13908
4,"Valeu a pena. Como dica, deixo a sugestão de colocarem uma embalagem mais resistente, uma vez que o produto é bem pesado.",Positivo,10.117459,10.157532
5,Produto recebido satisfação 100%,Muito Positivo,14.250298,6.8646507
1,Estou aguando o meu produto que não chegou dentro do prazo ,Muito Negativo,9.3559,12.758142
4,"O produto chegou direito e, no prazo correto.",Positivo,15.13561,11.596181
5,Adoro comprar? na lannister.com excelente lojas. Estão de parabéns! ,Muito Positivo,11.943847,12.466736
5,Entrega no prazo e ótimo produto.,Muito Positivo,14.414489,11.9590645
1,Meu produto nunca chegou.,Muito Negativo,8.021613,11.054346
5,Entrega e produto ótimo.,Muito Positivo,13.307215,13.318543
3,No site o produto parece ter melhor qualidade de material e acabamento.,Neutro,13.920795,13.119823
5,"Produto é o que eu esperava, satisfeito com a compra. ",Muito Positivo,13.298377,11.02472
5,otima.,Muito Positivo,15.506932,0.8981622
5,entrega foi super rápida!,Muito Positivo,13.329701,9.090607
5,Gostei muito do Produto,Muito Positivo,12.274489,10.358876
1,Não recebi o pedido,Muito Negativo,7.16601,12.445062
5,o produto veio perfeito otima embalagem voltarei a comprar.obrigado,Muito Positivo,13.602336,11.70266
2,A NF foi entregue mas até agora nada dos produtos. Aguardando a entrega para recomendar a loja.,Negativo,8.495729,12.902208
1,Dava impressão do frasco ser maior ou seja o que é tradicionalmente comercializado é de 350 ml.,Muito Negativo,10.398279,10.247187
5,bom.,Muito Positivo,14.818404,4.6955886
4,"Ok, entregue correto e no prazo.",Positivo,15.539936,8.550554
3,"Bom
",Neutro,15.680105,0.8612749
5,Entrega no prazo e em excelente estado.,Muito Positivo,15.520165,8.531095
5,Muito bom esse produto,Muito Positivo,13.438974,13.216995
3,infelizmente o produto chegou ontem o tecnico instalou e nao funciona em nenhum dos notebboks como faço?vou ate a loja hj ,Neutro,8.664643,11.807158
5,muito bom ,Muito Positivo,10.561553,3.2329245
5,"Lindos produtos, rápida entrega. Recomendo.",Muito Positivo,12.990457,10.038219
5,"Tudo como anunciado!
",Muito Positivo,13.667699,5.6747994
3,"preciso que seja trocada a razão para: Cooperativa de laticínios Serramar. O restante esta correto, não adianta carta de correção",Neutro,8.585816,11.2463045
4,tudo como na descrição do produto recomendo !,Positivo,13.1640835,11.665909
5,produto entregue dentro do prazo e em perfeitas condições.Nota 1000,Muito Positivo,14.714732,12.022798
4,Só não coerente o valor do frete.,Positivo,8.791899,10.628427
4,Ainda não utilizei o produto,Positivo,9.227237,13.223305
1,"Não recebi o produto até hoje, não tive o estorno feito até hoje, Não tive meus e-mails respondidos, não tive contato nem da empresa e nem da lannister, um descaso total, não recomendo comprar nada .",Muito Negativo,8.171133,12.1667595
1,"Pedi uma coisa e veio outra ,era para ser um chip micro sd xc e veio um micro sd hc ,versão ultrapassada dos micros sd",Muito Negativo,7.5976,10.265355
1,Envie vários email para avisa sobre o atraso e até agora não recebi resposta. Espero que devolva o dinheiro. ,Muito Negativo,7.1669927,12.676293
4,"Produto muito bom, porém o modo de por no braço poderia ser melhor, vem elástico e curto...",Positivo,10.607932,10.082639
4,exatamente o que comprei,Positivo,11.921665,11.051411
5,Pedido entregue sem restrições.,Muito Positivo,7.1865983,12.796751
5,Parabéns pelo atendimento e pelo produto maravilhoso.,Muito Positivo,13.514181,10.947412
3,"No site havia o produto, mas depois constou indisponível. Isso gerou um pouco de irritação pois já havia pago e foi a primeira vez que tive este problema com a lannister. Espero não acontecer novamen",Neutro,8.297435,11.791184
4,Recebi tudo certo conforme anúncio. Recomendo,Positivo,13.721772,6.285538
5,Chegou mt rápido bem antes do prazo recomendo,Muito Positivo,15.49514,9.306559
3,Só não foi entregue na minha residência tive q ir buscar nas agências do Correios ,Neutro,6.922348,12.095272
5,produto bom e chegou no prazo,Muito Positivo,14.650421,11.791394
3,"GOSTEI MUITO DO TRAVESSEIRO. Veio no prazo, que aliás acho longo demais. De São Paulo para o Rio demorar mais de 15 dias,. parece brincadeira.",Neutro,10.329083,8.403432
5,"Ótimo, excelente produto recomendo a todos ",Muito Positivo,13.128915,11.703014
1,As medidas que constam no site estão diferentes do produto entregue.,Muito Negativo,8.607607,10.608791
2,Não recebi o produto na data prevista e nem consigo rastrear ,Negativo,8.321849,12.616561
1,"vou registrar queixa no reclameaqui porque, apesar de informar que, me enviaram produto para tensao errada (pedi 110V e mandaram 220V) apresentei reclamaçao e nao me deram satisfaçao",Muito Negativo,7.9188495,12.020625
5,Tudo certo,Muito Positivo,13.646901,4.9856057
5,"A colcha é mt bonita.
Gostei!",Muito Positivo,11.710058,7.9843326
4,Único problema foi no ato da entrega onde o produto chegou no destino é voltou ao remetente por falta de comunicação.,Positivo,7.7209287,12.01132
5,Otimo,Muito Positivo,13.840189,0.26960644
5,"chegou bem antes do prazo , produto d boa qualidade e fácil d montar",Muito Positivo,15.194729,10.8645115
5,Muito bonito do jeito que eu esperava.,Muito Positivo,12.5507555,7.6190066
1,"Até o momento não recebi o produto, já passou da data máxima de entrega.",Muito Negativo,8.436425,12.904177
5,Gostei muito do site,Muito Positivo,12.875186,7.676405
5,"Chegou tudo antes do prazo , tudo certinho e lacradinho ..Adorei meus produtos ! ",Muito Positivo,15.025101,10.238616
5,Produto entregue antes do prazo.,Muito Positivo,15.8787365,11.966934
4,Entregue conforme prometido ,Positivo,13.205301,5.847096
5,"Atendeu às expectativas. Belo jogo de xadrez, com excelente acabamento nas peças e tabuleiro. Tamanho nem grande, nem pequeno, ideal para transportar.",Muito Positivo,10.884782,10.342261
1,"Estou insatisfeita, porque não venho recebendo informações sobre o produto comprado e até o momento o produto não chegou!!",Muito Negativo,8.880234,12.820966
1,"Muito ruim, depois de quase um mês esperando o produto o pedido foi cancelado automaticamente, tendo inclusive a agencia bancaria aprovado o pagamento da primeira parcela. Aguardo reembolso! ",Muito Negativo,7.9178414,12.413195
1,Entregaram somente 1 das quatro cadeiras depois do prazo estabelecido ,Muito Negativo,7.0538497,9.358109
5,"produto entregue antes do prazo,minha filha adorou.",Muito Positivo,13.823281,10.585235
5,Gostei de comprar mais uma vez na Americana! ,Muito Positivo,12.140379,11.58718
3,Eu recebi apenas o sapatinho de marca Bebella. O outro sapatinho de silicone não veio junto.,Neutro,7.760839,10.324065
4,"Produtos com qualidade, entregues antes do prazo.",Positivo,14.742645,11.901416
1,"Meu produto chegou todo quebrado, quero trocar, por outro igual do mesmo",Muito Negativo,9.128813,11.009067
3,"o produto tem aroma adicionado, precisava do oleo puro. Mas recebido tudo ok ",Neutro,13.581225,13.065479
5,"Vocês tem que reclamar com os Correios devido a demora.Não é possível já se passaram 5 dias além do prazo segunda feira irá completar.
Fico no aguardo da reclamação dos Correios.
Agradeço atenção.",Muito Positivo,7.5477786,13.116122
2,Só tem muito frete né poderia ser menos kk,Negativo,12.2451725,8.32954
4,Preciso trocar o produto ,Positivo,9.245766,11.119344
5,cumpriu o prometido,Muito Positivo,13.201401,5.8320785
5,Muito bom os produtos e otima qualidade,Muito Positivo,13.991812,13.218078
1,"produto falsificado, e uma mine escuta porem das duas que comprei nao funciona .....",Muito Negativo,8.603605,10.733242
1,"NÃO LIGA , LIGA A LUZ.
 ",Muito Negativo,13.18416,1.9165368
3,"O produto não chegou com o acabamento perfeito. O acabamento em inox veio com uma marca, parecendo um ponto de solda.",Neutro,9.39882,10.818885
5,Recebido e certinho.,Muito Positivo,12.737534,6.330688
5,Tudo como o combinado! !!,Muito Positivo,14.281927,4.7373734
1,Não deu dois dias a pelicula solto. Qualidade muito ruim ,Muito Negativo,8.637675,9.164742
4,recomendo,Positivo,14.744674,6.664419
5,Tudo correto,Muito Positivo,13.657279,5.1765466
1,"tive um transtorno muito grande com relação a compra que fiz de 02 luminárias meia lua roxa, foi enviado somente 01 e depois de 40 dias prazo da entrega informaram que iram devolver o credito.",Muito Negativo,7.594089,12.834591
1,"Péssimo o prazo de entrega,compro porque preciso,meu trabalho depende de agilidade e não ficar esperando a vida toda.",Muito Negativo,9.472471,12.387453
5,Ótimo !!!,Muito Positivo,15.164706,4.500738
4,Faltou a nota fiscal,Positivo,7.5273423,11.8022585
5,"Produto ótimo,recebi bem antes do prazo.Muito satisfeita.",Muito Positivo,14.81466,9.6582775
4,"gostei do atendimento , recomendo",Positivo,13.9430895,7.9375367
3,"Custo x benefício, vale a pena.",Neutro,12.26464,10.881789
1,Ainda não recebi meu puf,Muito Negativo,9.040602,13.6615305
5,"Vale apena, estou satisfeito, recomendo",Muito Positivo,13.775288,7.1415734
1,O botão para abrir o carro não está funcionando.,Muito Negativo,8.826307,10.130965
3,Recebi meu produto porem com certo atraso.,Neutro,9.035002,12.43075
1,passado o prazo não recebi o produto e nem mesmo um parecer do vendedor,Muito Negativo,8.154427,11.695634
5,O produto chegou muito antes do prazo estabelecido. Recomendo a loja.,Muito Positivo,12.6923275,12.242975
1,Estou esperando o produto chegar ainda.,Muito Negativo,10.016694,13.252114
2,"O relógio é muito bonito. Não me agradou a empresa.
O produto não veio bem embalado e faltando o manual.",Negativo,18.15556,8.916522
5,otimo,Muito Positivo,13.998666,0.35072327
1,"Comprei e até agora nada de chegar, prazo pro dia 09, e até agora nem sinal.",Muito Negativo,7.837484,13.003528
5,"A mercadoria veio muito bem embalada, por se tratar de um filtro de barrro. Parabéns pelo bom trabalho. E pela rapidez da entrega. ",Muito Positivo,13.465814,10.214681
4,"comprei um capacete, e recebi uma bolsa para selim",Positivo,7.8551702,9.925645
5,Produto entregue entes do prazo.,Muito Positivo,15.369925,12.555157
5,"produto entregue como solicitei
",Muito Positivo,14.262959,12.472881
2,Estou sem trabalha por que o meu kit de tesouras fio de navalha não chego e eu quero receber sou cliente a tanto tempo e acontece isso comigo como vai ficar minha cituaçao ,Negativo,9.109487,12.430207
5,muito rápido ,Muito Positivo,12.323556,8.314084
5,Compensa e muito a comprar. Pode comprar sem medo de se arrepender. ,Muito Positivo,11.96258,11.420499
5,"Seriedade no serviço, parabéns.",Muito Positivo,14.506648,7.595057
4,Estou satisfeito com o produto adquirido.,Positivo,13.165514,10.855753
5,muito bom recomendo gostei muito,Muito Positivo,13.317498,7.425567
5,"Como sempre, um atendimento perfeito, recomendo.",Muito Positivo,14.1430235,8.0266285
5,muito bom,Muito Positivo,10.566577,3.2297342
5,"Entregue no prazo.... Lindo produto, grande do jeito que precisava.",Muito Positivo,14.150733,11.772735
3,"Produto não era o mesmo da foto, embora com características funcionais semelhantes.",Neutro,9.532536,9.607589
5,Os produtos são de boa qualidade e o preço que adquiri foi excelente. ,Muito Positivo,13.664603,12.801585
1,Gostaria que me envia-se a mercadoria ou devolvesse meu dinheiro ia fazer mais compras mais fiquei com medo de não entregar,Muito Negativo,7.6242423,11.632836
4,"Estou satisfeita com o produto, foi entregue rápido.",Positivo,13.471502,10.354389
1,Vieram faltando produtos e até agora ninguém respondeu meus e-mails. ,Muito Negativo,7.6646523,12.298735
5,Os produtos são ótimos!,Muito Positivo,13.322684,13.312664
5,Produto entregue corretamente,Muito Positivo,14.634701,12.681841
5,muito boa .entrega rapida,Muito Positivo,12.789323,8.629476
1,"Comprei um caminhão brutus vermelho de presente para meu filho e recebi uma escova de dentes. Quero que esta situação se resolva o mais rápido possível, pois o aniversário do meu menino já foi e a fru",Muito Negativo,11.2602415,10.896888
2," PRODUTO INCORRETO ALEM DE VIM TROCADO VEIO DE VALOR MENOR, COMPREI UM KIT ANNY CASAL 5 PEÇAS COM FRONHAS EM FORMA DE CORAÇÃO NA COR/CÁQUI..
E VEIO UMA COLCHA CASAL ANNE 5 PEÇAS BORDADA. ",Negativo,13.076549,2.0635455
5,Parceiro 100%. Pode confiar. Recomendo.,Muito Positivo,14.207644,7.083402
4,Bom,Positivo,15.900265,0.8119807
5,O produto foi entregue em perfeitas condições e antes do prazo! ,Muito Positivo,14.923431,11.282853
5,entregue no prazo e mercadoria certa. é o que importa ,Muito Positivo,15.066862,12.140729
5,o melhor site para comprar.,Muito Positivo,12.96348,8.000907
5,Recomendo e muito pontual!,Muito Positivo,14.866802,4.7986083
4,Produto entregue corretamente e antes do prazo informado. ,Positivo,15.677635,11.963357
4,"O produto chegou no prazo e é como descrito porem na parte de tras do produto ficou desnivelado, faltou acabamento.",Positivo,9.205518,10.916694
1,"O produto veio diferente do pedido original,comprei um modelo e me enviaram outro,não fiquei satisfeita com a compra.Já fiz a reclamação com a lojas lannister.",Muito Negativo,8.12583,11.428595
1,Produto não chegou e não tive estorno.,Muito Negativo,7.8098097,11.228092
1,"1 mês que comprei o produto e até agora não recebi, ninguém dá uma posição do do que você pode fazer. Quando receber eu classifico novamente. ",Muito Negativo,8.749935,12.652251
5,Produto igual a foto super recomendo a entrega achei q iria demorar pela situação atual da falta de gasolina mas me surpreendeu foi rápido todos estão de parabéns as lojas lannister e o fabricante,Muito Positivo,13.07676,11.802851
2,"Chegou, mas somente a caminha. Estou no aguardo da coleira e do bebedor. Por enquanto nem me avisaram que seria enviado depois. Nem um contato da parte dos vendedores. ",Negativo,7.2650223,12.135123
5,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",Muito Positivo,14.408029,11.077308
5,Atendimento vip. Segurança e produto de ótima qualidade.,Muito Positivo,12.826634,9.552397
4,Só não Gostei do sistema de Rastreamento antes você via a todo instante e agora só atualiza depois das 18:30 ,Positivo,9.427955,9.406994
1,Meu produto veio falsificado. ,Muito Negativo,8.741152,10.773795
5,"produto atende as expectativas. Muito Bom 
Recomendo ótimo custo benefício.",Muito Positivo,12.434118,10.75568
5,Parabéns pelo profissionalismo. ,Muito Positivo,14.59894,7.7092752
5,Ótima compra. Torneira dentro das expectativas. ,Muito Positivo,12.13687,11.383863
3,Levaria cinco estrelas se o produto não tivesse com defeito. ,Neutro,9.130664,12.429424
5,"Produto bem embalado, em perfeitas condições.",Muito Positivo,13.858257,12.270101
5,Atenciosos no atendimento,Muito Positivo,14.237167,8.287223
2,"Entrega feita dentro do prazo, parabéns a lannister, mas o produto é péssimo joga muita água pra fora, é de um material bem fraco e não veio a receita que informam, embalagem original toda rasgada.",Negativo,9.29818,10.382159
1,Comprei 2 produtos paguei frete pelos dois produtos é só recebi um produto,Muito Negativo,7.0924506,10.462031
5,muito bom o atendimento e a entrega eu recomendo ,Muito Positivo,14.124932,8.0277815
5,Tudo concorme prometido e entrega antecipada ,Muito Positivo,13.283887,5.7916207
3,recebi no prazo porem a Cor veio diferente ao do anuncio,Neutro,7.845921,11.335287
3,"O envio ocorreu rapidamente, porém, ainda não recebi o produto. Está parado desde 25|02|2018 nos Correios. E não sei ao certo a localização.
",Neutro,8.210692,12.85829
1,"DEMORA NA ENTREGA ,PRODUTO RUIM RESUMO NÃO GOSTEI",Muito Negativo,13.090921,2.0155523
1,"creio que houve engano 

informo que recebi mesa de piqui nique
e entrei em contato com empresa sem exito
mas meu pedido nao foi atendido
",Muito Negativo,7.6856103,12.556544
5,Original. Muito bom ,Muito Positivo,18.285774,-3.1430495
5,Ótimo produto e entrega rapida,Muito Positivo,12.954141,9.841864
5,"Tudo Ok, loja de confiança.",Muito Positivo,11.904616,12.6762085
5,Estou satisfeita ,Muito Positivo,14.043914,7.126994
5,"Otimo produto, conforme o anunciado",Muito Positivo,5.8652034,16.542862
4,GOSTEI DO PRODUTO E ENTREGARAM ANTES DO PRAZO,Positivo,12.694926,1.9922718
5,super recomendo,Muito Positivo,13.3872,7.236138
4,"ok
",Positivo,-12.376716,5.13258
4,"Durante a compra não encontrei a opção de alterar o nome do destinatário, por se tratar de presente gostaria de que a rcemessa fosse em nome do presenteado.",Positivo,7.945237,11.480568
5,Tudo conforme o combinado.,Muito Positivo,13.580213,5.469897
5,Excelente,Muito Positivo,16.228537,4.7522883
5,Recebi em menos de 1 semana. ,Muito Positivo,7.6794286,13.543501
2,"Pela foto o produto parecia ser imponente e bonito, porém quando chegou o relógio quase não coube no meu braço, pela foto parecia ser lindo mais a realidade era outra.",Negativo,18.083366,8.991577
4,"Ótimo produto, porém com custo elevado.
Entrega rápida.",Positivo,12.547207,10.231319
3,"Eu comprei nas lannister, por se tratar de uma loja de confiança, porém ao chegar o produto descobri que o que foi vendido pela marca Targus, era na verdade um produto falsificado, não confio mais",Neutro,8.5418005,10.941409
5,Conforme o esperado,Muito Positivo,13.481473,5.778298
2,Não recebi,Negativo,8.793921,8.678911
5,Voltarei a comprar,Muito Positivo,11.871849,11.420182
5,"Adorei meu relógio, chegou a cor q eu pedi em perfeito estado, Obrigada.",Muito Positivo,17.976149,9.092529
4,Eu recebi o produto corretamente e gostei muito. Dentro do prazo. ,Positivo,13.601955,10.772007
2,"Quanto a entrega , tudo bem . Mas o perfume não gostei , muito fraco. Fragrância muito diferente das opiniões que li na internet . ",Negativo,10.0441475,10.520672
5,"Produtos de muita qualidade e super útil,",Muito Positivo,13.970735,13.164114
5,Boa compra chegou no prazo tudo certinho recomendo. ,Muito Positivo,12.277257,11.471404
5,Ta muito dificil comprar com as lannister levei quase 30 dias pra receber meu produto nao recomendo pela demora ,Muito Positivo,8.570076,12.633194
1,"O produto não chegou à unidade dos correios. Invés de tomar a responsabilidade para si e estonar o valor, a loja disse que só faria o estorno após receber de volta o objeto. Sou cliente não entregador",Muito Negativo,7.707709,11.559209
5,"Superou minhas expectativas. 
O produto chegou 1 dia depois que comprei, sendo que o prazo era de 9 dias",Muito Positivo,14.705577,10.353026
5,ele é ótimo recomendo,Muito Positivo,13.339361,7.323634
1,"UMA BOSTA NAO ENTREGA, E NAO FAZ ESTORNO DO VALOR.. VOU TER QUE ENTRAR COM UM PROCESSO CONTRA lannister",Muito Negativo,8.562311,11.760385
2,"Extrema demora na entrega. Aliás, nunca tive uma compra que houvesse tanta demora. Peço ajuda do baratheon para resolver esta entrega. 
Grato ",Negativo,8.798701,12.40138
4,"Produto conforme o anunciado de boa qualidade que atende as espectativas,",Positivo,13.941573,13.028414
5,Ótimo produto,Muito Positivo,13.364377,14.418285
3,Atendeu às expectativas,Neutro,13.397018,6.1028295
1,"Minha compra ainda não chegou, não respeitam o prazo de entrega, não me atendem não me respondem. Total falta de respeito. ",Muito Negativo,7.6189575,12.677338
5,Adoreiii,Muito Positivo,12.569054,6.6530867
5,Gostei atendimento e a mercadoria chegou antes do prazo combinado. ,Muito Positivo,14.416382,10.416024
5,Excelente,Muito Positivo,16.242186,4.7476516
1,"Faltou um produto o, a guia dupla cinto segurança para dois caes",Muito Negativo,7.380042,9.678016
5,o produto chegou antes do prazo e certinho. Parabens!,Muito Positivo,15.691033,10.77561
3,Ja comprei outras vezes mas estou tendo problemas nessa compra,Neutro,9.384464,11.79468
5,Excelente.,Muito Positivo,15.805187,5.124409
5,Muito satisfeiro.,Muito Positivo,14.182207,6.9186783
1,Ainda estamos aguardando a chegada do produto,Muito Negativo,10.025227,13.308915
5,Bom,Muito Positivo,15.898164,0.79922533
4,"Recomendo este vendedor, pois envia o pedido no prazo.",Positivo,12.600115,12.5494
5,otima compra farei mais vezes por motivo de preços mais em conta que outros concorrente a entrega foi bem antes do prazo indicado gostei de compra nesta loja pelo site estou vendo mais alguns produtos,Muito Positivo,10.897769,12.162222
5,Chegou super rápido e bem embalado.,Muito Positivo,13.127006,9.136823
5,Gostei muito é chegou o que eu esperava ,Muito Positivo,12.6153965,7.539868
5,Recomendo.,Muito Positivo,14.835415,4.754086
5,Muito bom....,Muito Positivo,12.875774,5.1262846
2,"Por enquanto recebi apenas um dos produtos, o soquete. O pendente aramado duplo diamante não chegou e consta como entregue.",Negativo,7.787081,10.4780245
5,Ótimo ,Muito Positivo,16.222744,3.2648957
1,"Ate agora nao chegou nada , nao posso avaliar",Muito Negativo,9.030108,13.659076
1,Ainda não recebi a base Dermacol 223,Muito Negativo,9.096246,13.322021
4,"Muito bom, entregue antes do prazo.



",Positivo,15.428209,9.186822
5,Tudo como descrito e combinado.,Muito Positivo,13.599464,5.4713507
4,muito bom o produto.,Positivo,13.412027,13.210029
5,Ótima entrega é rápido,Muito Positivo,13.377646,9.05493
5,Fiquei satisfeita com o meu produto.,Muito Positivo,13.232189,10.832805
5,Ótima,Muito Positivo,14.148845,0.4982542
3,"Produto Bom e Bonito, mas na descrição do produto na compra era 100% Algodão e veio 80% Algodão e 20% Poliéster, única coisa a reclamar me senti um pouco enganado.",Neutro,9.43442,10.666653
3,Um simples mouse de computador não deveria demorar tanto para ser entrgue.,Neutro,10.861476,9.879423
5,"Apesar pagar frete e ainda ter que ir aos Correios buscar a encomenda, o produto veio em bom estado e era exatamente o que eu precisava",Muito Positivo,14.2549515,10.975328
3,"Muito bonita, amei recomendo.",Neutro,13.140998,7.5485563
3,Não tenho como opinar ainda não recebi o produto.,Neutro,9.114105,13.102017
5,Td lindo e impecável ,Muito Positivo,11.529285,8.841309
1,até agora não recebi o que comprei. nunca passei tanto tempo para receber um produto comprado no site das lannister. ,Muito Negativo,8.725541,11.924973
3,Ainda nao foi entregue o produto,Neutro,8.693773,12.9418955
5,Produto excelente,Muito Positivo,14.118657,14.117157
4,"Entrega dentro do prazo, produto atendeu minhas expectativas. Recomendo.",Positivo,14.095107,10.894401
5,Ótimo produto ,Muito Positivo,13.348647,14.437823
5,"sempre compro neste site 
entrega antes do previsto
nunca tive problema
recomendo",Muito Positivo,11.374773,12.180478
5,"Produto excelente , entrega antes do prometido, adorei, muito linda a boneca, recomendo.",Muito Positivo,13.384786,11.039218
5,"Embora o prazo de entrega fosse muito longo, recebi o produto bem antes do previsto. Excelente!",Muito Positivo,14.342582,10.610161
5,"Entregue antes do prazo, tudo certo.",Muito Positivo,15.714173,8.677338
1,"Mercadoria não foi entregue, quero que reveja com a targaryen",Muito Negativo,8.30803,11.723069
1,"O produto ainda não chegou, e não tenho nenhuma informação a respeito do mesmo. Total descaso!
Na rastreabilidade aparece apenas ""dificuldades na entrega"", sem dar nenhum prazo...",Muito Negativo,8.383831,12.615099
4,podia ter vindo os dois junto,Positivo,12.528656,6.2882056
3,"entrega demorada e pouca informação, se o produto for vendido por outro site darei a preferencia",Neutro,10.476545,12.180328
5,Gostei!,Muito Positivo,12.032347,7.147819
3,"Anuncio dizia 5 pecas de banho, que entendo e entendi por 5 toalhas de banho e nao apenas duas de banho, duas de rosto e uma de chao ",Neutro,9.790983,9.480496
1,"quando fiz a compra paguei o frete,tive que ir pegar nos correios falta de respeito na hora de vender vcs aceitam depois temos que ir buscar ,não compro mais e nem recomendo.",Muito Negativo,7.3940663,11.942888
2,"Bom dia, só não entendo o porque um pedido com 2 ou 3 peças nunca chegue no mesmo momento .",Negativo,7.5749087,10.053862
4,O PRODUTO IGUAL O ANUNCIO LINDO POREM A ENTREGA SUPER DEMORADA,Positivo,12.83422,2.033167
5,Preciso devolver o produto pois essa compra havia sido cancelada. Acredito que tenha sido problema do sistema. Estou aguardando resposta para devolver e pegar o dinheiro de volta,Muito Positivo,7.804155,11.953627
